"aadk"	"锒"	20
"aae"	"鍂"	20
"aaf"	"钱"	20
"aaja"	"镈"	20
"aajq"	"铺"	20
"aal"	"龖"	20
"aan"	"锒"	20
"aao"	"铪"	20
"aaoh"	"镎"	20
"aaoh"	"鎿"	20
"aaq"	"鈛"	20
"aaqi"	"钺"	20
"aaqn"	"铖"	20
"aaqp"	"龯"	20
"aat"	"铃"	20
"aaxh"	"铽"	20
"aaxu"	"钹"	20
"aay"	"钤"	20
"aay"	"铖"	20
"aayh"	"錜"	20
"aba"	"钚"	20
"aba"	"鈈"	20
"abby"	"锉"	20
"abd"	"镨"	20
"abe"	"鉟"	20
"abed"	"镨"	20
"abef"	"镒"	20
"aber"	"鎆"	20
"abew"	"镃"	20
"abho"	"鐥"	20
"abi"	"郞"	20
"abi"	"鎆"	20
"abk"	"铨"	20
"abkd"	"镁"	20
"abm"	"鉁"	20
"abnp"	"锩"	20
"abo"	"鈻"	20
"abo"	"鏳"	20
"abod"	"镨"	20
"abor"	"锐"	20
"abp"	"釞"	20
"abpd"	"锴"	20
"abqd"	"鏳"	20
"abqp"	"锑"	20
"abs"	"鉩"	20
"abto"	"锕"	20
"abue"	"鎓"	20
"aca"	"鉵"	20
"acc"	"鋛"	20
"acdj"	"镡"	20
"acf"	"铌"	20
"aci"	"钟"	20
"aci"	"鈡"	20
"acjo"	"锯"	20
"ack"	"鏩"	20
"acl"	"钯"	20
"acl"	"錷"	20
"acm"	"镅"	20
"acm"	"鎇"	20
"aco"	"铭"	20
"acol"	"鐴"	20
"acrs"	"镖"	20
"acw"	"链"	20
"acx"	"鉂"	20
"acyo"	"锔"	20
"ada"	"钛"	20
"ada"	"釰"	20
"adax"	"飙"	20
"adb"	"锟"	20
"adbs"	"镣"	20
"add"	"锠"	20
"addq"	"镏"	20
"ade"	"钽"	20
"adea"	"锝"	20
"adea"	"鍀"	20
"adf"	"鎾"	20
"adfu"	"镘"	20
"adi"	"鍴"	20
"adj"	"钭"	20
"adjr"	"锛"	20
"adk"	"银"	20
"adkb"	"郞"	20
"adls"	"鐛"	20
"adnm"	"锡"	20
"ado"	"鉫"	20
"adp"	"铆"	20
"ads"	"鍟"	20
"adto"	"锜"	20
"adua"	"锝"	20
"adua"	"鍀"	20
"aduc"	"郒"	20
"adud"	"勆"	20
"adul"	"郒"	20
"adx"	"勆"	20
"adxx"	"鏯"	20
"ae"	"钅"	20
"ae"	"釒"	20
"aea"	"锊"	20
"aee"	"钮"	20
"aee"	"鈯"	20
"aeem"	"镠"	20
"aeev"	"鑃"	20
"aefe"	"铔"	20
"aefl"	"铠"	20
"aefp"	"錽"	20
"aeg"	"鋖"	20
"aegu"	"锾"	20
"aeia"	"鐞"	20
"aej"	"銉"	20
"ael"	"钝"	20
"ael"	"鋔"	20
"aem"	"镠"	20
"aen"	"鈵"	20
"aen"	"銟"	20
"aenb"	"鈵"	20
"aenu"	"锓"	20
"aeoq"	"鍢"	20
"aeot"	"镉"	20
"aep"	"钖"	20
"aep"	"锡"	20
"aepf"	"鎽"	20
"aer"	"侴"	20
"aer"	"鍴"	20
"aeru"	"锻"	20
"aetr"	"鍴"	20
"aeu"	"鈯"	20
"aeuu"	"镚"	20
"aeuu"	"鏰"	20
"aew"	"键"	20
"aewu"	"鎐"	20
"aex"	"锾"	20
"aez"	"钲"	20
"aez"	"鋢"	20
"afa"	"铸"	20
"afad"	"錑"	20
"afb"	"镤"	20
"afc"	"锣"	20
"afcb"	"鑎"	20
"afdd"	"锲"	20
"afe"	"盋"	20
"afed"	"镤"	20
"afek"	"镮"	20
"afez"	"鎠"	20
"aff"	"钜"	20
"aff"	"盏"	20
"aff"	"鉳"	20
"aff"	"锬"	20
"afk"	"钙"	20
"afl"	"釯"	20
"afm"	"鍽"	20
"afn"	"钬"	20
"afnc"	"镯"	20
"afo"	"钷"	20
"afo"	"鉕"	20
"afq"	"鑎"	20
"afr"	"刬"	20
"afs"	"铄"	20
"afu"	"鍸"	20
"afva"	"鍦"	20
"afvd"	"镞"	20
"afvz"	"镟"	20
"afx"	"戋"	20
"afy"	"钫"	20
"agca"	"锵"	20
"age"	"锤"	20
"agg"	"銒"	20
"agg"	"锸"	20
"agj"	"钎"	20
"agj"	"釺"	20
"agjy"	"锤"	20
"agn"	"铗"	20
"agno"	"鐈"	20
"ago"	"钳"	20
"ago"	"铦"	20
"ago"	"铷"	20
"ago"	"鐈"	20
"agq"	"锺"	20
"agqf"	"鑂"	20
"agu"	"锼"	20
"agx"	"钕"	20
"agy"	"镑"	20
"ahad"	"鑙"	20
"ahf"	"锹"	20
"ahg"	"錗"	20
"aho"	"锗"	20
"ahp"	"铋"	20
"ahr"	"锈"	20
"ahr"	"鋵"	20
"ahrt"	"鏫"	20
"ahu"	"锖"	20
"aia"	"镈"	20
"aii"	"鉮"	20
"aij"	"铺"	20
"ain"	"钦"	20
"aiq"	"铀"	20
"aiqi"	"鉮"	20
"aiw"	"銾"	20
"aix"	"锇"	20
"ajb"	"镇"	20
"ajci"	"鏉"	20
